SL. no,Crop,Season,Temperature in C,Organic Content in %,Moisture in %,fertiliser %,pesticide usage %,estimated quality,Nitrogen %,Phosphorous %,Potassium %,Yield
52,Potato,Kharif & Rabbi,26,42,53,80,41,55,0.07,0.489,0.704,67
53,Potato,Kharif & Rabbi,25,30,66,76,44,43,0.052,0.443,0.755,69
54,Potato,Kharif & Rabbi,29,54,59,29,44,77,0.104,0.599,0.773,76
55,Potato,Kharif & Rabbi,35,63,40,42,55,44,0.137,0.471,0.803,80
56,Potato,Kharif & Rabbi,31,66,39,48,59,49,0.138,0.507,0.806,73
57,Potato,Kharif & Rabbi,33,33,54,72,36,57,0.113,0.533,0.55,67
58,Potato,Kharif & Rabbi,33,49,41,79,41,46,0.06,0.497,0.521,61
59,Potato,Kharif & Rabbi,33,51,35,34,52,61,0.079,0.489,0.731,69
60,Potato,Kharif & Rabbi,33,35,51,67,50,38,0.107,0.446,0.735,56
61,Potato,Kharif & Rabbi,26,45,65,71,59,33,0.102,0.467,0.616,60
62,Potato,Kharif & Rabbi,27,24,41,76,55,30,0.084,0.534,0.71,71
63,Potato,Kharif & Rabbi,25,27,66,69,50,39,0.075,0.485,0.71,61
64,Potato,Kharif & Rabbi,34,30,62,80,46,49,0.064,0.438,0.716,68
65,Potato,Kharif & Rabbi,34,54,41,54,61,47,0.091,0.534,0.829,64
66,Potato,Kharif & Rabbi,29,69,66,27,61,56,0.108,0.528,0.822,78
67,Potato,Kharif & Rabbi,31,67,44,48,51,58,0.076,0.529,0.791,76
68,Potato,Kharif & Rabbi,29,48,55,77,50,32,0.079,0.497,0.68,71
69,Potato,Kharif & Rabbi,27,63,35,47,55,46,0.111,0.591,0.804,80
70,Potato,Kharif & Rabbi,27,27,34,69,61,38,0.104,0.44,0.691,60
71,Potato,Kharif & Rabbi,26,52,50,31,37,86,0.101,0.491,0.722,87
72,Potato,Kharif & Rabbi,31,45,38,79,46,38,0.053,0.491,0.56,59
73,Potato,Kharif & Rabbi,26,63,51,33,41,78,0.102,0.486,0.75,76
74,Potato,Kharif & Rabbi,29,67,67,29,46,73,0.073,0.548,0.796,91
75,Potato,Kharif & Rabbi,36,45,48,70,49,50,0.054,0.504,0.737,63
76,Potato,Kharif & Rabbi,31,37,50,77,54,37,0.108,0.375,0.745,70
77,Potato,Kharif & Rabbi,32,43,61,65,57,38,0.055,0.476,0.561,69
78,Potato,Kharif & Rabbi,32,60,43,53,40,54,0.102,0.471,0.727,70
79,Potato,Kharif & Rabbi,28,46,53,70,39,41,0.097,0.492,0.596,59
80,Potato,Kharif & Rabbi,28,48,54,73,61,33,0.116,0.378,0.722,51
81,Potato,Kharif & Rabbi,35,66,36,49,54,58,0.125,0.595,0.784,72
82,Potato,Kharif & Rabbi,27,40,41,77,54,35,0.048,0.438,0.644,63
83,Potato,Kharif & Rabbi,32,37,49,67,46,55,0.086,0.406,0.699,63
84,Potato,Kharif & Rabbi,34,60,41,40,34,73,0.061,0.451,0.768,86
85,Potato,Kharif & Rabbi,33,41,46,70,37,42,0.103,0.375,0.617,68
86,Potato,Kharif & Rabbi,33,26,58,66,36,40,0.077,0.513,0.747,58
87,Potato,Kharif & Rabbi,35,26,67,62,33,46,0.102,0.444,0.568,65
88,Potato,Kharif & Rabbi,35,31,51,79,58,36,0.093,0.436,0.678,59
89,Potato,Kharif & Rabbi,25,63,49,41,33,77,0.088,0.541,0.777,90
90,Potato,Kharif & Rabbi,34,45,60,75,38,55,0.074,0.483,0.698,69
91,Potato,Kharif & Rabbi,25,69,38,42,37,75,0.072,0.588,0.813,75
92,Potato,Kharif & Rabbi,32,63,39,50,47,83,0.068,0.497,0.725,59
93,Potato,Kharif & Rabbi,30,65,42,46,56,56,0.062,0.529,0.721,79
94,Potato,Kharif & Rabbi,31,28,53,59,59,42,0.045,0.414,0.704,59
95,Potato,Kharif & Rabbi,31,30,53,61,45,45,0.08,0.405,0.751,66
96,Potato,Kharif & Rabbi,33,60,64,25,36,86,0.102,0.534,0.811,90
97,Potato,Kharif & Rabbi,27,24,52,81,37,44,0.07,0.459,0.544,63
98,Potato,Kharif & Rabbi,33,59,38,35,41,82,0.093,0.498,0.743,90
99,Potato,Kharif & Rabbi,32,23,67,61,36,48,0.113,0.425,0.602,59
100,Potato,Kharif & Rabbi,34,40,64,72,61,41,0.114,0.535,0.724,53
101,Potato,Kharif & Rabbi,34,26,42,59,48,53,0.086,0.539,0.716,69
102,Potato,Kharif & Rabbi,33,70,55,29,57,53,0.092,0.52,0.828,75
103,Potato,Kharif & Rabbi,36,33,35,62,40,45,0.085,0.524,0.566,64
104,Potato,Kharif & Rabbi,35,62,37,37,49,80,0.117,0.481,0.718,90
105,Potato,Kharif & Rabbi,36,28,38,64,52,35,0.081,0.443,0.668,66
106,Potato,Kharif & Rabbi,30,41,48,64,51,45,0.109,0.522,0.626,72
107,Potato,Kharif & Rabbi,25,57,46,49,55,44,0.125,0.6,0.741,70
108,Potato,Kharif & Rabbi,25,70,68,30,48,87,0.066,0.542,0.771,87
109,Potato,Kharif & Rabbi,29,45,63,58,38,47,0.096,0.479,0.655,71
110,Potato,Kharif & Rabbi,33,55,54,32,52,60,0.14,0.492,0.759,80
111,Potato,Kharif & Rabbi,29,49,53,72,41,42,0.081,0.47,0.657,60
112,Potato,Kharif & Rabbi,35,63,34,47,55,60,0.063,0.513,0.744,77
113,Potato,Kharif & Rabbi,35,24,39,60,59,30,0.071,0.449,0.719,62
114,Potato,Kharif & Rabbi,25,70,64,29,44,86,0.124,0.523,0.727,78
115,Potato,Kharif & Rabbi,33,34,50,69,59,34,0.087,0.419,0.769,59
116,Potato,Kharif & Rabbi,32,41,60,80,40,51,0.067,0.525,0.574,71
117,Potato,Kharif & Rabbi,29,48,61,60,34,42,0.056,0.395,0.703,59
118,Potato,Kharif & Rabbi,33,32,64,61,44,43,0.107,0.385,0.673,58
119,Potato,Kharif & Rabbi,35,36,68,71,43,39,0.116,0.535,0.546,66
120,Potato,Kharif & Rabbi,28,49,41,66,53,38,0.054,0.507,0.696,52
121,Potato,Kharif & Rabbi,34,66,39,46,35,86,0.084,0.526,0.819,77
122,Potato,Kharif & Rabbi,29,53,40,38,44,78,0.073,0.489,0.799,91
123,Potato,Kharif & Rabbi,35,54,68,27,57,61,0.087,0.523,0.711,78
124,Potato,Kharif & Rabbi,29,45,51,59,49,52,0.064,0.524,0.545,66
125,Potato,Kharif & Rabbi,33,40,49,71,36,42,0.061,0.439,0.678,58
126,Potato,Kharif & Rabbi,32,61,66,26,45,80,0.082,0.554,0.742,80
127,Potato,Kharif & Rabbi,32,46,64,65,42,43,0.088,0.401,0.74,69
128,Potato,Kharif & Rabbi,30,57,43,35,48,82,0.102,0.47,0.801,80
129,Potato,Kharif & Rabbi,35,62,65,31,42,75,0.07,0.471,0.741,76
130,Potato,Kharif & Rabbi,31,57,37,52,37,43,0.078,0.48,0.778,63
131,Potato,Kharif & Rabbi,35,43,34,58,58,39,0.106,0.407,0.706,59
132,Potato,Kharif & Rabbi,29,63,55,28,51,58,0.09,0.468,0.752,68
133,Potato,Kharif & Rabbi,33,32,36,69,34,40,0.098,0.388,0.599,62
134,Potato,Kharif & Rabbi,28,26,57,58,34,42,0.114,0.433,0.7,69
135,Potato,Kharif & Rabbi,35,29,55,66,32,54,0.111,0.533,0.548,70
136,Potato,Kharif & Rabbi,32,69,42,53,61,43,0.092,0.552,0.784,62
137,Potato,Kharif & Rabbi,25,59,60,32,61,54,0.084,0.483,0.746,69
138,Potato,Kharif & Rabbi,33,61,66,25,37,79,0.077,0.515,0.776,82
139,Potato,Kharif & Rabbi,33,40,67,66,47,42,0.072,0.388,0.613,68
140,Potato,Kharif & Rabbi,27,46,68,75,59,46,0.095,0.375,0.597,72
141,Potato,Kharif & Rabbi,29,32,38,76,36,44,0.079,0.506,0.712,63
142,Potato,Kharif & Rabbi,35,33,43,70,58,44,0.072,0.536,0.556,60
143,Potato,Kharif & Rabbi,25,66,34,51,32,44,0.09,0.534,0.816,66
144,Potato,Kharif & Rabbi,25,50,61,28,61,53,0.093,0.541,0.716,74
145,Potato,Kharif & Rabbi,29,64,34,35,58,45,0.107,0.53,0.802,75
146,Potato,Kharif & Rabbi,27,59,56,31,58,49,0.134,0.543,0.723,72
147,Potato,Kharif & Rabbi,25,30,36,80,42,51,0.11,0.429,0.684,70
148,Potato,Kharif & Rabbi,35,62,61,30,44,83,0.084,0.572,0.763,81
149,Potato,Kharif & Rabbi,30,62,67,26,33,82,0.114,0.584,0.731,89
150,Potato,Kharif & Rabbi,31,71,41,52,32,55,0.132,0.507,0.81,61
151,Potato,Kharif & Rabbi,36,68,48,37,39,82,0.138,0.499,0.739,88
152,Potato,Kharif & Rabbi,29,53,57,31,52,48,0.095,0.51,0.724,74
153,Potato,Kharif & Rabbi,32,31,43,58,44,51,0.049,0.374,0.539,60
154,Potato,Kharif & Rabbi,25,47,66,67,61,34,0.052,0.459,0.546,59
155,Potato,Kharif & Rabbi,27,52,59,27,49,84,0.139,0.532,0.74,87
156,Potato,Kharif & Rabbi,27,65,45,44,53,49,0.066,0.53,0.777,69
157,Potato,Kharif & Rabbi,36,47,35,74,38,51,0.059,0.377,0.649,61
158,Potato,Kharif & Rabbi,26,55,68,25,39,84,0.122,0.468,0.787,86
159,Potato,Kharif & Rabbi,29,58,40,54,58,50,0.064,0.528,0.803,54
160,Potato,Kharif & Rabbi,35,52,51,30,37,76,0.139,0.556,0.748,91
161,Potato,Kharif & Rabbi,29,51,66,30,49,77,0.116,0.555,0.807,89
162,Potato,Kharif & Rabbi,30,46,43,66,50,38,0.108,0.503,0.676,62
163,Potato,Kharif & Rabbi,29,32,50,66,40,49,0.071,0.466,0.523,60
164,Potato,Kharif & Rabbi,34,37,46,60,57,48,0.083,0.404,0.627,58
165,Potato,Kharif & Rabbi,25,31,63,70,54,36,0.047,0.529,0.558,72
166,Potato,Kharif & Rabbi,28,24,59,70,45,42,0.087,0.392,0.655,59
167,Potato,Kharif & Rabbi,27,47,42,67,38,50,0.069,0.513,0.576,69
168,Potato,Kharif & Rabbi,29,45,65,75,41,40,0.081,0.421,0.696,58
169,Potato,Kharif & Rabbi,27,62,40,53,43,54,0.08,0.459,0.809,64
170,Potato,Kharif & Rabbi,31,31,40,61,59,43,0.091,0.412,0.572,67
171,Potato,Kharif & Rabbi,36,30,47,70,53,46,0.051,0.492,0.584,51
172,Potato,Kharif & Rabbi,35,30,46,76,44,53,0.084,0.409,0.529,60
173,Potato,Kharif & Rabbi,32,65,66,27,59,55,0.137,0.565,0.761,71
174,Potato,Kharif & Rabbi,36,29,42,63,49,38,0.076,0.378,0.574,71
175,Potato,Kharif & Rabbi,28,57,55,27,35,74,0.114,0.456,0.761,88
176,Potato,Kharif & Rabbi,34,34,66,64,59,46,0.071,0.431,0.578,72
177,Potato,Kharif & Rabbi,29,71,38,44,60,43,0.097,0.575,0.731,69
178,Potato,Kharif & Rabbi,33,53,36,52,48,42,0.139,0.575,0.758,65
179,Potato,Kharif & Rabbi,25,59,53,30,40,83,0.098,0.59,0.776,89
180,Potato,Kharif & Rabbi,26,50,53,33,55,52,0.124,0.539,0.777,71
181,Potato,Kharif & Rabbi,26,61,57,30,44,72,0.106,0.467,0.779,74
182,Potato,Kharif & Rabbi,26,44,55,69,56,47,0.043,0.433,0.539,71
183,Potato,Kharif & Rabbi,34,57,62,29,48,72,0.134,0.586,0.753,78
184,Potato,Kharif & Rabbi,34,32,40,70,42,54,0.074,0.431,0.605,62
185,Potato,Kharif & Rabbi,29,46,36,80,34,45,0.106,0.415,0.762,66
186,Potato,Kharif & Rabbi,29,59,39,36,54,47,0.132,0.593,0.76,69
187,Potato,Kharif & Rabbi,28,58,50,27,38,75,0.082,0.522,0.799,83
188,Potato,Kharif & Rabbi,30,57,38,51,42,50,0.134,0.579,0.726,66
189,Potato,Kharif & Rabbi,31,70,36,34,42,85,0.12,0.583,0.715,90
190,Potato,Kharif & Rabbi,32,34,46,65,35,56,0.05,0.47,0.551,62
191,Potato,Kharif & Rabbi,25,35,37,69,46,48,0.114,0.474,0.609,68
192,Potato,Kharif & Rabbi,33,23,65,59,37,46,0.112,0.377,0.578,59
193,Potato,Kharif & Rabbi,31,34,36,74,38,44,0.075,0.411,0.646,63
194,Potato,Kharif & Rabbi,31,64,38,40,51,47,0.075,0.543,0.825,76
195,Potato,Kharif & Rabbi,36,62,64,29,32,87,0.062,0.466,0.785,87
196,Potato,Kharif & Rabbi,33,60,55,29,34,85,0.076,0.527,0.769,91
197,Potato,Kharif & Rabbi,34,53,62,33,47,77,0.127,0.551,0.773,86
198,Potato,Kharif & Rabbi,28,57,50,28,41,72,0.108,0.457,0.765,85
199,Potato,Kharif & Rabbi,31,55,62,27,54,57,0.134,0.554,0.785,73
200,Potato,Kharif & Rabbi,25,26,41,69,59,30,0.06,0.462,0.534,63
201,Potato,Kharif & Rabbi,26,43,55,67,50,31,0.057,0.384,0.55,71
202,Potato,Kharif & Rabbi,33,31,52,71,51,40,0.059,0.534,0.695,56
203,Potato,Kharif & Rabbi,28,70,57,28,41,84,0.094,0.529,0.765,76
204,Potato,Kharif & Rabbi,28,49,48,77,33,57,0.059,0.408,0.698,64
205,Potato,Kharif & Rabbi,27,62,43,43,55,53,0.06,0.556,0.747,74
206,Potato,Kharif & Rabbi,34,66,43,34,43,85,0.104,0.581,0.772,84
207,Potato,Kharif & Rabbi,32,30,52,75,53,38,0.074,0.513,0.708,71
208,Potato,Kharif & Rabbi,31,30,66,65,59,49,0.1,0.497,0.767,59
209,Potato,Kharif & Rabbi,26,46,48,59,35,57,0.081,0.457,0.552,58
210,Potato,Kharif & Rabbi,25,36,34,79,33,51,0.099,0.515,0.537,58
211,Potato,Kharif & Rabbi,29,57,55,29,57,42,0.109,0.534,0.766,71
212,Potato,Kharif & Rabbi,36,60,67,28,60,49,0.075,0.509,0.717,75
213,Potato,Kharif & Rabbi,27,51,36,44,42,85,0.07,0.534,0.771,76
214,Potato,Kharif & Rabbi,32,36,48,63,41,41,0.045,0.423,0.702,59
215,Potato,Kharif & Rabbi,28,32,48,59,55,39,0.117,0.38,0.542,57
216,Potato,Kharif & Rabbi,29,65,45,37,33,78,0.064,0.559,0.72,81
217,Potato,Kharif & Rabbi,30,68,50,32,45,79,0.118,0.559,0.802,84
218,Potato,Kharif & Rabbi,32,45,63,79,59,49,0.071,0.485,0.542,58
219,Potato,Kharif & Rabbi,33,44,45,77,52,33,0.059,0.501,0.629,59
220,Potato,Kharif & Rabbi,25,42,55,69,45,52,0.069,0.424,0.76,66
221,Potato,Kharif & Rabbi,27,46,42,67,37,47,0.085,0.518,0.698,60
222,Potato,Kharif & Rabbi,27,52,43,38,37,74,0.125,0.488,0.753,84
223,Potato,Kharif & Rabbi,27,40,64,67,34,51,0.052,0.43,0.632,59
224,Potato,Kharif & Rabbi,35,66,54,25,53,47,0.098,0.455,0.716,70
225,Potato,Kharif & Rabbi,30,45,57,74,61,41,0.109,0.503,0.677,72
226,Potato,Kharif & Rabbi,28,44,41,63,44,39,0.118,0.52,0.698,70
227,Potato,Kharif & Rabbi,36,26,49,67,42,56,0.072,0.431,0.532,62
228,Potato,Kharif & Rabbi,28,59,34,40,35,76,0.078,0.526,0.742,79
229,Potato,Kharif & Rabbi,31,27,53,76,48,54,0.112,0.462,0.746,66
230,Potato,Kharif & Rabbi,27,51,66,31,37,83,0.076,0.571,0.743,81
231,Potato,Kharif & Rabbi,28,31,47,58,37,53,0.069,0.378,0.61,67
232,Potato,Kharif & Rabbi,28,66,47,36,46,78,0.108,0.475,0.793,74
233,Potato,Kharif & Rabbi,26,43,64,75,33,39,0.108,0.455,0.607,65
234,Potato,Kharif & Rabbi,30,55,54,33,53,51,0.108,0.584,0.779,74
235,Potato,Kharif & Rabbi,29,49,38,66,34,48,0.042,0.401,0.602,63
236,Potato,Kharif & Rabbi,31,39,53,73,45,38,0.064,0.478,0.532,64
237,Potato,Kharif & Rabbi,27,62,47,42,43,87,0.106,0.541,0.791,84
238,Potato,Kharif & Rabbi,27,45,40,70,43,54,0.1,0.488,0.568,65
239,Potato,Kharif & Rabbi,34,53,49,35,55,49,0.066,0.461,0.772,74
240,Potato,Kharif & Rabbi,36,53,54,32,57,47,0.105,0.525,0.712,75
241,Potato,Kharif & Rabbi,32,58,62,26,50,60,0.09,0.576,0.754,72
242,Potato,Kharif & Rabbi,32,38,68,67,59,32,0.075,0.518,0.569,55
243,Potato,Kharif & Rabbi,25,25,57,76,42,43,0.086,0.451,0.664,67
244,Potato,Kharif & Rabbi,30,51,44,50,38,84,0.139,0.469,0.741,61
245,Potato,Kharif & Rabbi,33,31,45,81,51,46,0.065,0.464,0.627,65
246,Potato,Kharif & Rabbi,35,58,53,26,48,81,0.107,0.568,0.744,78
247,Potato,Kharif & Rabbi,32,23,55,61,45,50,0.097,0.457,0.565,65
248,Potato,Kharif & Rabbi,27,57,62,29,58,48,0.064,0.558,0.722,73
249,Potato,Kharif & Rabbi,32,51,59,26,47,86,0.102,0.539,0.78,88
250,Potato,Kharif & Rabbi,33,47,52,69,56,35,0.107,0.416,0.739,51
251,Potato,Kharif & Rabbi,31,26,38,75,39,52,0.108,0.445,0.742,59
252,Potato,Kharif & Rabbi,31,26,63,66,61,43,0.077,0.456,0.561,68
253,Potato,Kharif & Rabbi,28,62,64,32,36,82,0.072,0.596,0.783,81
254,Potato,Kharif & Rabbi,30,52,43,37,54,45,0.094,0.518,0.829,75
255,Potato,Kharif & Rabbi,34,40,59,58,44,53,0.097,0.421,0.698,68
256,Potato,Kharif & Rabbi,26,47,54,67,37,41,0.079,0.446,0.635,66
257,Potato,Kharif & Rabbi,34,57,54,29,58,57,0.136,0.534,0.786,78
258,Potato,Kharif & Rabbi,28,43,63,68,47,50,0.106,0.524,0.562,66
259,Potato,Kharif & Rabbi,30,61,49,35,56,52,0.132,0.564,0.749,67
260,Potato,Kharif & Rabbi,30,46,57,77,51,43,0.057,0.523,0.768,58
261,Potato,Kharif & Rabbi,34,48,58,79,56,35,0.041,0.481,0.762,62
262,Potato,Kharif & Rabbi,25,62,48,41,34,82,0.091,0.557,0.745,87
263,Potato,Kharif & Rabbi,30,45,39,71,36,41,0.083,0.495,0.767,70
264,Potato,Kharif & Rabbi,28,32,58,71,42,55,0.11,0.531,0.651,62
265,Potato,Kharif & Rabbi,27,35,44,63,49,43,0.117,0.395,0.631,66
266,Potato,Kharif & Rabbi,28,50,42,44,51,52,0.108,0.453,0.804,70
267,Potato,Kharif & Rabbi,28,67,65,33,47,73,0.134,0.463,0.774,78
268,Potato,Kharif & Rabbi,28,46,42,66,60,41,0.119,0.435,0.527,65
269,Potato,Kharif & Rabbi,28,69,49,40,54,42,0.118,0.496,0.742,75
270,Potato,Kharif & Rabbi,33,27,40,61,59,42,0.067,0.446,0.753,69
271,Potato,Kharif & Rabbi,31,68,64,28,36,85,0.09,0.502,0.8,87
272,Potato,Kharif & Rabbi,34,46,47,64,34,42,0.059,0.374,0.687,65
273,Potato,Kharif & Rabbi,28,51,40,35,37,72,0.064,0.578,0.743,78
274,Potato,Kharif & Rabbi,33,67,57,30,56,52,0.107,0.457,0.765,78
275,Potato,Kharif & Rabbi,25,46,37,69,35,45,0.091,0.391,0.758,70
276,Potato,Kharif & Rabbi,34,46,42,62,41,38,0.078,0.375,0.537,70
277,Potato,Kharif & Rabbi,35,50,39,49,49,75,0.07,0.577,0.795,86
278,Potato,Kharif & Rabbi,28,61,68,30,39,84,0.098,0.56,0.763,76
279,Potato,Kharif & Rabbi,25,60,57,25,35,83,0.068,0.586,0.723,76
280,Potato,Kharif & Rabbi,31,55,61,27,34,81,0.099,0.459,0.761,83
281,Potato,Kharif & Rabbi,30,63,36,55,51,35,0.082,0.543,0.763,58
282,Potato,Kharif & Rabbi,34,53,62,32,33,80,0.101,0.562,0.763,83
283,Potato,Kharif & Rabbi,34,60,45,44,48,84,0.121,0.55,0.76,91
284,Potato,Kharif & Rabbi,26,48,64,78,39,47,0.041,0.539,0.643,71
285,Potato,Kharif & Rabbi,32,46,50,67,57,47,0.11,0.394,0.645,55
286,Potato,Kharif & Rabbi,33,25,62,73,55,48,0.113,0.462,0.551,51
287,Potato,Kharif & Rabbi,36,35,51,77,57,32,0.103,0.418,0.682,67
288,Potato,Kharif & Rabbi,26,24,59,61,35,48,0.088,0.478,0.692,65
289,Potato,Kharif & Rabbi,26,62,65,32,42,73,0.075,0.458,0.724,75
290,Potato,Kharif & Rabbi,33,58,67,28,56,48,0.073,0.473,0.814,68
291,Potato,Kharif & Rabbi,29,45,61,66,51,34,0.063,0.508,0.537,70
292,Potato,Kharif & Rabbi,27,26,35,71,51,39,0.107,0.442,0.73,53
293,Potato,Kharif & Rabbi,27,36,36,78,58,43,0.116,0.44,0.755,67
294,Potato,Kharif & Rabbi,28,34,48,65,57,31,0.069,0.518,0.6,57
295,Potato,Kharif & Rabbi,25,39,43,80,60,46,0.071,0.451,0.703,70
296,Potato,Kharif & Rabbi,35,53,53,28,56,51,0.14,0.585,0.806,78
297,Potato,Kharif & Rabbi,26,47,36,70,46,55,0.109,0.392,0.734,68
298,Potato,Kharif & Rabbi,32,41,61,64,48,48,0.048,0.411,0.664,60
299,Potato,Kharif & Rabbi,27,45,61,70,49,51,0.107,0.374,0.62,71
300,Potato,Kharif & Rabbi,32,50,42,35,41,84,0.109,0.546,0.734,82
301,Potato,Kharif & Rabbi,29,61,61,28,48,75,0.086,0.592,0.777,91
302,Potato,Kharif & Rabbi,27,66,35,51,53,38,0.122,0.518,0.8,58
303,Potato,Kharif & Rabbi,31,28,60,80,44,38,0.078,0.492,0.714,66
304,Potato,Kharif & Rabbi,25,54,48,50,32,84,0.124,0.512,0.72,69
305,Potato,Kharif & Rabbi,34,52,39,43,51,43,0.088,0.456,0.719,67
306,Potato,Kharif & Rabbi,27,42,56,67,34,55,0.078,0.431,0.602,70
307,Potato,Kharif & Rabbi,29,63,56,32,39,82,0.108,0.598,0.786,80
308,Potato,Kharif & Rabbi,28,42,68,68,54,39,0.087,0.482,0.583,72
309,Potato,Kharif & Rabbi,34,32,49,63,34,46,0.072,0.393,0.724,70
310,Potato,Kharif & Rabbi,36,27,54,70,61,36,0.053,0.446,0.62,54
311,Potato,Kharif & Rabbi,26,42,48,81,52,39,0.081,0.505,0.631,53
312,Potato,Kharif & Rabbi,32,27,48,61,48,52,0.097,0.465,0.522,60
313,Potato,Kharif & Rabbi,29,50,68,25,38,72,0.079,0.482,0.783,83
314,Potato,Kharif & Rabbi,25,45,51,67,33,38,0.11,0.477,0.734,65
315,Potato,Kharif & Rabbi,28,36,38,68,46,47,0.049,0.484,0.548,58
316,Potato,Kharif & Rabbi,32,63,42,53,51,35,0.095,0.559,0.777,67
317,Potato,Kharif & Rabbi,26,34,68,58,39,42,0.045,0.518,0.6,67
318,Potato,Kharif & Rabbi,31,56,68,28,38,84,0.061,0.492,0.741,91
319,Potato,Kharif & Rabbi,27,48,67,74,49,52,0.062,0.401,0.64,64
320,Potato,Kharif & Rabbi,31,62,47,50,32,73,0.128,0.472,0.748,59
321,Potato,Kharif & Rabbi,31,69,64,32,60,44,0.124,0.455,0.777,75
